#Strain	Comment
293	FFR Cooperative, PVP 9400060
381	FFR Cooperative, PVP 9400061
2400	Novartis Seeds, Inc., PVP 8100145
3034	The Lubrizol Corporation, PVP 7400097
3035	The Lubrizol Corporation, PVP 7700075
3172	Novartis Seeds, Inc., PVP 9200174
3202	Novartis Seeds, Inc., PVP 9200175
3311	Novartis Seeds, Inc., PVP 9200036
3602	Novartis Seeds, Inc., PVP 9300046
3615	Novartis Seeds, Inc., PVP 9100131
5050	Monsanto Technology, LLC, PVP 9400170
6245	Monsanto Technology, LLC, PVP 200300123
6727	Novartis Seeds, Inc., PVP 8700157
6738	Novartis Seeds, Inc., PVP 8700158
6847	Novartis Seeds, Inc., PVP 8800127
6925	Novartis Seeds, Inc., PVP 8900284
6955	Novartis Seeds, Inc., PVP 8900291
6995	Novartis Seeds, Inc., PVP 8900292
7144	MBS Seed, Inc., PVP 7300098
7178	MBS Seed, Inc., PVP 7300099
7499	Kentucky Agricultural Experiment Station, PVP 9900351
9004	Agriculture Canada, PVP 9600050
11824	Monsanto Technology, LLC, PVP 200300126
13744	Monsanto Technology, LLC, PVP 200400325
25340	Monsanto Technology, LLC, PVP 200300120
30438	See report for complete backcross information http://www.btny.purdue.edu/Pubs/USDA/2008UniformTestReport.pdf
33405	Monsanto Technology, LLC, PVP 200300121
34726	Latham Seed Company, PVP 8800222
34870	Latham Seed Company, PVP 8800223
40887	Monsanto Technology, LLC, PVP 200300124
44483	Monsanto Technology, LLC, PVP 200400320
49431	Monsanto Technology, LLC, PVP 200300130
53381	Monsanto Technology, LLC, PVP 200300122
88401	Monsanto Technology, LLC, PVP 200300016
90505	Monsanto Technology, LLC, PVP 200400314
96004	Monsanto Technology, LLC, PVP 200300128
96008	Monsanto Technology, LLC, PVP 200300022
96838	Monsanto Technology, LLC, PVP 200300129
98601	Backcrossed line from R93-171
103321	Monsanto Technology, LLC, PVP 200300119
132963	Monsanto Technology, LLC, PVP 200400322
149928	Monsanto Technology, LLC, PVP 200300030
151167	Monsanto Technology, LLC, PVP 200300127
152167	Monsanto Technology, LLC, PVP 200400318
164851	Monsanto Technology, LLC, PVP 200400313
203314	Monsanto Technology, LLC, PVP 200300131
208463	Monsanto Technology, LLC, PVP 200400311
210197	2331535 ONTARIO LTD, PVP 201400238
210342	2331535 ONTARIO LTD, PVP 201400239
211948	Monsanto Technology, LLC, PVP 200400317
212930	Monsanto Technology, LLC, PVP 200400312
221524	Monsanto Technology, LLC, PVP 200400315
235908	Monsanto Technology, LLC, PVP 200400319
236101	Monsanto Technology, LLC, PVP 200400316
