#Strain	Parent 1	Parent 2
149		
165		
293	Winchester	Harper
301	Crusher	Legacy
306	Crusher	Legacy
381		
605		
2400	Amsoy Rps	Cutler
2534		
3034	Amsoy	303S11
3035	Ax50F58-2	PI31122
3171	L77-994	Pioneer P1677
3172	HP20-20	HW79149
3202	V295	Asgrow A3127
3311	Asgrow A3127	SL1646
3602		
3615	DPX 403	DPL 345
5050		
5157		
5961	Asgrow A3733	Resnik
6245	ST0280	AG2401
6347	Cartter	Asgrow A3307
6363	Cartter	Pioneer P9272
6727	F71-1180	( Centennial , Co76-863 )
6738	F71-1180	CN281
6847	F71-1180	CN281
6925	Essex	Forrest
6955	Coker 237	D74-7741
6995	Bedford	Coker 156
7144		
7178		
7499	Pioneer P9391	KY84-1616
9004	Maple Ridge	Lakota
9401		
9461	( 0351-29 , Asgrow A4268 )	( Pioneer P9401 , Asgrow A3127 )
10928	80053	4MP4148-32
11415		
11824	ST1386-23	AG2101
12465	Pioneer P9132	90733
13007	Asgrow A3304	90733
13744	Asgrow A5959	AGM58702
21028	Pioneer P9392	Pioneer P9321
21052	ST2250	90676A
21063	Asgrow A3237	90683C
21066	MO12557	90688A
21069	MO92117-18	90682E
21070	Pioneer P9412	90688C
21080	Pioneer P9362	90682C
21082	Pioneer P9381	90685A
21097	Asgrow A3237	21063
21111	Pioneer P9362	21080
21119	Pioneer P9304	21070
21132	Asgrow A2396	21082
21710	Asgrow A3237	21097
21720	Pioneer P9343	21111
21721	Asgrow A1900	21119
21726	Asgrow A2396	21132
25340	ST0280	AG0801
30094	5961	Asgrow A3733
30107	XB33B	5961
30124	Pioneer P9303	30094
30129	XB33B	30107
30199	Pioneer P9303	30124
30214	Pioneer P9341	30129
30294	Pioneer P9303	30199
30310	Pioneer P9303	30294
30388	Pioneer P9303	30310
30438	( Pioneer P2981 , Asgrow A3127 )	( Pioneer P2981 , ( MV2E1 , Resnik ) )
31438	Pioneer P9254	Pioneer P9281
31910	31438	Pioneer P9254
32127	Pioneer P9352	31910
32745	Pioneer P9352	32127
33405	ST2870	AG2601
34726		
34870	BSR201	Asgrow A3127
38154		
40656	Olympus	MON RR
40887	ST2788	AG3302
44483	MP15733-72	AG4301
45270	ST2250	21721
45282	3660	21726
49431	Asgrow A3559	AG3302
53381	Asgrow A4604	AG4902
66764	BSR101	Elgin
70543	Hutcheson	90773
70887	Hutcheson	90773
70961	W8520-044	70543
71495	Pioneer P9594	70887
76599	CM266	Dairyland DSR304
80053	( Williams 79 , Wells II )	CM158
82285	( L77-994 , SRF 250 )	Asgrow A3307
88401	Asgrow A1923	2702R
90505	AP1275	AG2201
90675	Pioneer P9281	G40-3P9273
90676	ST2250	G40-3P9392
90682	Pioneer P9342	G40-3P9341
90683	Pioneer P9362	G40-3P9392
90686	Pioneer P9392	G40-3P9392
90687	Pioneer P9444	G40-3P9341
90688	Asgrow A4715	G40-3P9392
90733	Pioneer P9172	90676
90753	ST2250	90682
90755	Pioneer P9362	90683
90773	Pioneer P9584	90688
91183	Pioneer P9343	21720
96004	Asgrow A5959	AG4501
96008	AG2101	Pioneer P9163
96838	Asgrow A2553	AG2903
98601	Asgrow A5403	Hutcheson
98602		
99507		
103321	Asgrow A3559	AG3502
132963	CP3678	AG4301
133220		
133515	133220	Pioneer P93B82
134137		
149928	Asgrow A5848	( Asgrow A5979 2 , MON40-3-2 )
151167	Asgrow A3244	AG3201
152167	Asgrow A3469	AGH36801
164851	( Asgrow A1923 2 , Syngenta S24-92 )	AG0801
203314	H91-25699	( Hartz 5088 , ( Pioneer P9791 , Hartz 6686RR ) )
208463	AP1275	AG0801
210197	301	306
210342	301	306
211948	Asgrow A3244	CPG3289C
212930	602216	APG0972
221524	DKB26-52	AG2703
