#Strain_Name	Parent_1	Parent_2
02JR310007	CM4035N	Pioneer_P93B82
02JR310007BC2	02JR310007	02JR310007BC1
02JR310007BC3	02JR310007	02JR310007BC2
02JR310061	CM4035N	Pioneer_P93B82
02JR318004	Syngenta_S32-Z3	CM4035N
02JR318004BC2	02JR318004	02JR318004BC1
02JR318004BC3	02JR318004	02JR318004BC2
02JR423003	Syngenta_S25-J5	Syngenta_S37-N4
02JR423003BC2	02JR423003	02JR423003BC1
02JR423003BC3	02JR423003	02JR423003BC2
02KG219016	Pioneer_P95B33	B511152
02RM018047	SJ833009	WX1964
03DL090957	Pioneer_P90B43	Syngenta_S00-Z1
03JR102982	WW710273	Syngenta_S42-H1
03JR103829	CM4035N	Syngneta_S43-B1
03JR321086	M815869	M813957
03JR321088	M815869	M813957
03KG212010	B640235	J634773
03KL015366	Syngenta_S18-N5	MT803006
03KL015644	Syngenta_S18-N5	Pioneer_P92B12
03KL015751	M815869	Pioneer_P92B12
03KL015826	Syngenta_S10-F2	Pioneer_P91B92
03RM893031	Pioneer_P93B87	M816626
03RM893092	Pioneer_P93B87	M816626
03RM893902	Pioneer_P93B87	M816626
04DL106306	MT802867	Syngenta_S18-N5
04KG128222	BA743303	BA847094
04KL108370	Syngenta_S21-A1	M815869
04KL108888	M815869	CL575743
04KL109914	M709710	MT802867
04KL109914BC2	04KL109914	04KL109914BC1
04KL109914BC3	04KL109914	04KL109914BC2
04RM822970	Syngenta_S30-Y8	DST3218
05DL285328	CL605723	CL800127
05DL345858	MT802867	98186-A01-30144
05JR007045	Ina	MT012091
05JR210562	Syngenta_S32-Z3	Syngenta_S49-Q9
05KL119276	Syngenta_S10-F2	MT002989
05KL134039	Pioneer_P91M10	H-1852RR
05KL134976	Syngenta_S10-F2	MT013548
05KL135608	MT002989	X312R
06BR337018	Pioneer_P93B86	Syngenta_S28-G1
06BR381007	WW115926	99702-B02-58205
06DL384689	DST2344	Dover
06DL480307	Syngenta_S05-T6	OACWallace
06DL480732	Syngenta_S12-C2	CL984701
06DL480868	Syngenta_S05-T6	OACWallace
06GK614011	MT100710	MT103884
06GK615309	MT100710	MT9078008
06JR202581	SJ030546	WW115926
06JR205288	DST2344	SJ031808
06JR205420	WW115926	SJ031808
06JR207459	SJ034878	SJ934809
06JR208211	SJ034878	SJ934809
06KG218440	BA018212	BA016127
06KL162149	M815869	MT103884
06KL162978	MT002750	SJ833009
06KL163285	97026-N99-42648	MT103884
06KL163375	WW703873	97026-N99-42648
06KL167872	MT103884	Pioneer_P91M10
06NB199076	M815869	97824-N00-47977
06NB199520	WW815289	97284-N00-47977
06NB204846	WW115926	98211-A01-36153
06RM934415	WW115926	Pioneer_P93B15
